"insurance_id","current_vehicle_id","matching_vehicle_id","insurance_client_id","vehicle_client_id","insurance_vehicle_name","vehicle_details"
1,11,11,6,6,"Toyota Hiace Delivery Van","{""1780558055797"": ""ASAS"", ""1780558087395"": ""A 45821"", ""1780558116994"": ""Sharjah"", ""1780558150210"": ""Van"", ""1780558477835"": ""Toyota"", ""1780558496829"": ""Hiace"", ""1780558530275"": ""2024"", ""1780558545388"": ""White "", ""1780558553581"": ""3"", ""1780558570604"": ""JTFSX22P4R6123456"", ""1780558584117"": ""2GD-FTV-784521"", ""1780558596508"": ""Diesel"", ""1780558647429"": ""18,450 km"", ""1780558662383"": ""Active"", ""1780558751700"": ""Company-owned delivery van used for warehouse transfers and customer deliveries across Dubai and Sharjah. The vehicle is in good condition, regularly serviced, and has no reported mechanical issues."", ""1780558935557"": ""Toyota Hiace Delivery Van""}"
2,NULL,20,19,19,"Empow - SHJ 2 97329","{""1780558055797"": ""ASAS Gen Tr LLC"", ""1780558087395"": ""SHJ 2 97329"", ""1780558116994"": ""Sharjah"", ""1780558150210"": ""Car"", ""1780558477835"": ""GAC"", ""1780558530275"": ""2025"", ""1780558545388"": ""Black"", ""1780558553581"": ""5"", ""1780558570604"": ""LMGBB1L85S3120849"", ""1780558584117"": ""K358773"", ""1780558596508"": ""Petrol"", ""1780558662383"": ""Active"", ""1780558935557"": ""Empow""}"
3,NULL,22,19,19,"Navigator - SHJ 3 6567","{""1780558055797"": ""ASAS Gen Tr LLC"", ""1780558087395"": ""SHJ 3 6567"", ""1780558116994"": ""Sharjah"", ""1780558150210"": ""Car"", ""1780558477835"": ""Lincoln"", ""1780558530275"": ""2019"", ""1780558545388"": ""Brown"", ""1780558553581"": ""7"", ""1780558570604"": ""5LMJJ2TT3KEL13738"", ""1780558584117"": ""KEL13738"", ""1780558596508"": ""Petrol"", ""1780558662383"": ""Active"", ""1780558935557"": ""Navigator""}"
4,14,15,19,19,"Raize","{""1780558055797"": ""ASAS Gen Tr LLC"", ""1780558087395"": ""SHJ 2 21772"", ""1780558116994"": ""Sharjah"", ""1780558150210"": ""Car"", ""1780558477835"": ""Toyota"", ""1780558496829"": """", ""1780558530275"": ""2023"", ""1780558545388"": ""White/Black"", ""1780558553581"": ""5"", ""1780558570604"": ""MHKAA1BA0PJ082254"", ""1780558584117"": ""1KRA774238"", ""1780558596508"": ""Petrol"", ""1780558662383"": ""Active"", ""1780558935557"": ""Raize""}"
4,14,14,19,19,"Raize","{""1780558055797"": ""ASAS Gen Tr LLC"", ""1780558087395"": ""SHJ 2 21772"", ""1780558116994"": ""Sharjah"", ""1780558150210"": ""Car"", ""1780558477835"": ""Toyota"", ""1780558496829"": ""2023"", ""1780558530275"": ""2023"", ""1780558545388"": ""White/Black"", ""1780558553581"": ""5"", ""1780558570604"": ""MHKAA1BA0PJ082254"", ""1780558584117"": ""1KRA774238"", ""1780558596508"": ""Petrol"", ""1780558662383"": ""Active"", ""1780558935557"": ""Raize""}"
5,NULL,16,19,19,"Accord -  SHJ 2 64543","{""1780558055797"": ""ASAS Gen Tr LLC"", ""1780558087395"": "" SHJ 2 64543"", ""1780558116994"": ""Sharjah"", ""1780558150210"": ""Car"", ""1780558477835"": ""Honda"", ""1780558530275"": ""2025"", ""1780558545388"": ""Black"", ""1780558553581"": ""5"", ""1780558570604"": ""1HGCY2691SA600290"", ""1780558584117"": ""LFC51394663"", ""1780558596508"": ""Petrol"", ""1780558662383"": ""Active"", ""1780558935557"": ""Accord""}"
6,NULL,17,19,19,"Prado - SHJ 2 93557","{""1780558055797"": ""ASAS Gen Tr LLC"", ""1780558087395"": ""SHJ 2 93557"", ""1780558116994"": ""Sharjah"", ""1780558150210"": ""Car"", ""1780558477835"": ""Toyota"", ""1780558530275"": ""2021"", ""1780558545388"": ""White/Pearls"", ""1780558553581"": ""7"", ""1780558570604"": ""JTEBU3FJ9MK198436"", ""1780558584117"": ""1GRC264860"", ""1780558596508"": ""Petrol"", ""1780558662383"": ""Active"", ""1780558935557"": ""Prado""}"
7,NULL,18,19,19,"Rush - SHJ 1 64721","{""1780558055797"": ""ASAS Gen Tr LLC"", ""1780558087395"": ""SHJ 1 64721"", ""1780558116994"": ""Sharjah"", ""1780558150210"": ""Car"", ""1780558477835"": ""Toyota"", ""1780558530275"": ""2023"", ""1780558545388"": ""White"", ""1780558553581"": ""7"", ""1780558570604"": ""MHKEF8BF3PK037567"", ""1780558584117"": ""2NRG926798"", ""1780558596508"": ""Petrol"", ""1780558662383"": ""Active"", ""1780558935557"": ""Rush""}"
8,NULL,19,19,19,"Corolla - SHJ 1 98602","{""1780558055797"": ""ASAS Gen Tr LLC"", ""1780558087395"": ""SHJ 1 98602"", ""1780558116994"": ""Sharjah"", ""1780558150210"": ""Car"", ""1780558477835"": ""Toyota"", ""1780558530275"": ""2022"", ""1780558545388"": ""Gray"", ""1780558553581"": ""5"", ""1780558570604"": ""RKLBB0BE1N0041923"", ""1780558584117"": ""1ZRY829666"", ""1780558596508"": ""Petrol"", ""1780558662383"": ""Active"", ""1780558935557"": ""Corolla""}"
9,NULL,23,19,19,"Master - SHJ 1 64675","{""1780558055797"": ""ASAS Gen Tr LLC"", ""1780558087395"": ""SHJ 1 64675"", ""1780558116994"": ""Sharjah"", ""1780558150210"": ""Van"", ""1780558477835"": ""Toyota"", ""1780558530275"": ""2025"", ""1780558545388"": ""White"", ""1780558553581"": ""3"", ""1780558570604"": ""VF1F6RCK8SB097562VF1F6RCK8SB097562"", ""1780558584117"": ""C011921"", ""1780558596508"": ""Petrol"", ""1780558662383"": ""Active"", ""1780558935557"": ""Master""}"
